id,d_zone,district_name,area,public_place,private,official_place,temple_area,state_enterprise,elsewhere,overpass,bus_stop,park,shelter,vacant_land,commerce_building,entertainment_place,bridge,street,bridgesandroads,footpath,alley,village,tourist_attraction,academy,government,intersection,pier,promenade,footpathandalley,gardens_bridges,skytrain_station,tunnelundertheroad,sports_center,transport_station,religious_place,other_area,lonely_night,lone_day,blind_spot,desolate,dirty,old_building,damaged_light,obstructing_traffic,homeless,mingling_source,mayhem,extortion,accident_r,accident_f,accident_e,accident_s,accident_t,accident_o,harass,chaotically,danger_animals,landmark,other_risk,surveillance,clean,tree_pruning,adjust_landscape,demolish,check_cctv,install_cctv,repair_cctv,install_light,repair_light,warning_label,coordinate_police,traffic_officer,related_agencies,safety_equipment,d_data,adddate,updatedate
50,กรุงธนใต้,หนองแขม,13,10,1,2,0,0,0,5,0,0,1,0,0,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,4,1,0,6,7,0,0,0,0,0,0,0,0,0,6/8/2020,6/8/2020
49,กรุงธนใต้,ราษฎร์บูรณะ,7,6,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/8/2020,6/8/2020
48,กรุงธนใต้,ภาษีเจริญ,22,22,0,0,0,0,0,15,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4,0,0,0,21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,6/8/2020,6/8/2020
47,กรุงธนใต้,บางบอน,11,6,4,1,0,0,0,1,1,2,1,2,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,1,0,1,1,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,3,1,2,0,2,0,0,0,0,0,6/8/2020,6/8/2020
46,กรุงธนใต้,บางแค,19,16,3,0,0,0,0,1,4,3,0,0,1,0,0,3,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,6/8/2020,6/8/2020
45,กรุงธนใต้,บางขุนเทียน,20,18,0,0,1,0,0,0,2,1,0,0,0,0,1,6,1,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,12,3,1,0,0,1,5,1,0,4,4,6,0,2,0,0,0,0,2,0,0,0,0,10,1,0,3,0,0,9,0,6,1,3,0,0,0,0,0,6/8/2020,6/8/2020
44,กรุงธนใต้,ทุ่งครุ,21,12,1,8,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,1,0,8,0,4,0,2,1,0,0,0,0,0,0,0,21,1,3,0,3,2,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,19,3,2,3,1,1,2,0,3,2,2,0,0,0,0,0,6/8/2020,6/8/2020
43,กรุงธนเหนือ,บางพลัด,8,7,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,3,1,0,0,3,0,0,0,0,6,0,0,0,0,0,6/8/2020,6/8/2020
42,กรุงธนเหนือ,บางกอกใหญ่,5,3,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,1,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,1,0,0,0,1,0,1,0,0,0,0,0,6/8/2020,6/8/2020
41,กรุงธนเหนือ,บางกอกน้อย,22,22,0,0,0,0,0,1,1,1,0,0,0,0,0,2,12,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,16,2,5,1,1,0,10,1,3,3,0,2,3,0,0,0,2,0,1,0,0,0,0,4,1,0,0,1,0,1,0,4,1,1,0,0,0,0,0,6/8/2020,6/8/2020
40,กรุงธนเหนือ,ธนบุรี,7,7,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,1,2,1,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,2,5,5,1,3,1,1,0,0,0,0,0,6/8/2020,6/8/2020
39,กรุงธนเหนือ,ทวีวัฒนา,4,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,0,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/8/2020,6/8/2020
38,กรุงธนเหนือ,ตลิ่งชัน,8,7,1,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,6,1,0,0,0,7,0,0,0,0,0,6/8/2020,6/8/2020
37,กรุงธนเหนือ,จอมทอง,9,5,4,0,0,0,0,1,0,2,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,1,1,1,0,0,0,0,0,6/8/2020,6/8/2020
36,กรุงธนเหนือ,คลองสาน,22,20,2,0,0,0,0,5,1,4,0,1,0,0,0,0,0,2,5,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,1,3,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,1,2,1,0,3,5,4,3,3,3,0,0,2,0,0,6/8/2020,6/8/2020
35,กรุงเทพตะวันออก,หนองจอก,26,18,6,2,0,0,0,4,0,0,0,1,5,0,0,7,0,0,5,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,12,2,0,1,0,0,2,0,0,0,0,0,0,6,0,1,0,9,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,6/8/2020,6/8/2020
34,กรุงเทพตะวันออก,สะพานสูง,11,11,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/8/2020,6/8/2020
33,กรุงเทพตะวันออก,ลาดกระบัง,14,12,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/8/2020,6/8/2020
